intent;example;Kommentar
reregistration;Wann kann ich mich zurückmelden?;
reregistration;Ich möchte mich zurückmelden?;
reregistration;Wie ist das mit dem Rückmelden?;
reregistration;Wann ist der Rückmeldezeitraum?;
reregistration;Wo erfolgt die Rückmeldung?;
reregistration;Wie erfolgt die Rückmeldung?;
reregistration;Können Sie mir bei der Rückmeldung helfen?;
reregistration;Kannst du mir bei der Rückmeldung helfen?;
reregistration;Ich weiß nicht, wo ich mich zurückmelden muss.;
reregistration;Ich weiß nicht, wo ich mich zurückmelden muss.;
validation;Wie kann ich meinen Studentenausweis validieren?;
validation;Wo kann ich meinen Ausweis validieren?;
validation;Wie validiere ich meine Fahrkarte?;
validation;Wo finde ich den Validierungsautomaten?;
validation;Wie kann ich meine Chipkarte validieren?;
validation;Wo kann ich meinen Studierendenausweis validieren?;
exam_registration;Wo kann ich mich zu den Klausuren anmelden?;
exam_registration;Wie kann ich mich zu den Klausuren anmelden?;
exam_registration;Bis wann muss ich mich zu den Klausuren anmelden?;
exam_registration;Bis wann kann ich mich zu den Klausuren anmelden?;
exam_registration;Bis wann muss ich zu den Klausuren angemeldet sein?;
exam_registration;Muss ich mich zu den Klausuren anmelden?;
exam_registration;Klausurenanmeldung;
exam_registration;Welche Frist gibt es für die Klausurenanmeldung?;
exam_registration;Wann endet der Anmeldezeitraum für die Klausuren?;
exam_registration;Von wann bis wann geht der Anmeldezeitraum der Klausuren?;
exam_registration;Von wann bis wann ist der Anmeldezeitraum für die Klausuren?;
exam_registration;Von wann bis wann ist der Anmeldezeitraum der Klausuren?;
exam_registration;Von wann bis wann geht der Anmeldezeitraum der Klausuren?;
exam_registration;Bis wann muss ich mich zu den Klausuren anmelden?;
jmu_account;Was ist ein JMU Account?;
jmu_account;Wie erhalte ich meinen JMU Account?;
jmu_account;Wie erhalte ich meinen studentischen E-Mail Account?;
jmu_account;Wie erhalte ich einen Zugang zu WueStudy, WueCampus und meiner Uni Mail?;
certificate_of_study;Wo finde ich Studienbescheinigungen?;
certificate_of_study;Wo erhalte ich meine Immatrikulationsbescheinigung?;
certificate_of_study;Wo finde ich eine Bescheinigung für Studienleistungen?;
certificate_of_study;Wie erhalte ich eine Bescheinigung für Prüfungsleistung mit Verifikationsleistung?;
certificate_of_study;Wie bekomme ich eine Bafög-Bescheinigung?;
certificate_of_study;Wo finde ich meine Rentenversicherungsbescheinigung?;
certificate_of_study;Wie erhalte ich eine Bescheinigung für angemeldete Prüfungen?;
dorm_application;Wo bewerbe ich mich für einen Wohnheimplatz?;
dorm_application;Wie bekomme ich eine Wohnung im Wohnheim?;
dorm_application;Ich möchte mich fürs Wohnheim bewerben.;
studyplan;Wie stelle ich meinen Stundenplan zusammen?;
studyplan;Welche Fächer muss ich belegen?;
studyplan;Was ist ein Studienverlaufsplan?;
studyplan;Welche Fächer müssen in meinen Stundenplan?;
timetable;Wo finde ich meinen Stundenplan?;
timetable;Welches Fach habe ich als nächstes?;
timetable;Wann habe ich welchen Kurs?;
timetable;Um wie viel Uhr habe ich diesen Kurs?;
timetable;Welches Fach habe ich Montag um 8 Uhr?;
timetable;Wie gelange ich zu meinem Stundenplan?;
timetable;Wo ist mein Stundenplan?;
course_cataloge;Wo finde ich das Vorlesungsverzeichnis?;
course_cataloge;Was ist das Vorlesungsverzeichnis?;
course_cataloge;Wo kann ich Kurse finden, die ich belegen kann?;
course_cataloge;Welche Kurse kann ich belegen?;
course_cataloge;Welche Kurse muss ich belegen?;
course_cataloge;Wo gibt es eine Übersicht über angebotene Fächer?;
introductory_event;Gibt es eine Einführungsveranstaltung für mein Studium?;
introductory_event;Wann habe ich meine Einführungsveranstaltung?;
introductory_event;Was sind Einführungsveranstaltungen?;
introductory_event;Wann ist die Einführungsveranstaltung?;
sport;Gibt es ein Sportangebot der Uni Würzburg?;
sport;Gibt es ein Angebot an verschiedenen Sportarten?;
sport;Wo finde ich Sportkurse?;
sport;Wo ist das Sportzentrum?;
sport;Wo kann ich in Würzburg Sport machen?;
fellow_students;Wie kann ich Kommilitonen kennenlernen?;
fellow_students;Wo finde ich Freunde?;
fellow_students;Wo kann ich Mitstudierende finden?;
fellow_students;Wer studiert mit mir?;
